Boro,OBJECTID,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
SI,13,Limited Free,TimeWarner,Barrett Park,"Southeast Corner of the Park, in front of YMCA",40.624700000300003,-74.114199999899995,952548.773035999969579,166892.098679999995511,,,Staten Island,
SI,14,Limited Free,TimeWarner,Clove Lakes Park,Park Building South Hallway,40.617979999900001,-74.108214999899999,954207.147344000055455,164441.717754000012064,,,Staten Island,
SI,15,Limited Free,TimeWarner,Clove Lakes Park,Near Lakehouse Restaurant,40.618000000199999,-74.1082000002,954211.3205640000524,164448.999236000003293,,,Staten Island,
SI,17,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Lobby,40.618977000400001,-74.107169999800007,954497.706474000005983,164804.594325000012759,,,Staten Island,
SI,18,Limited Free,TimeWarner,Clove Lakes Park,Lakehouse Restaurant,40.619399999899997,-74.107099999699997,954517.32815399998799,164958.680303000001004,,,Staten Island,
SI,19,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Hallway,40.6189999996,-74.106999999600006,954544.911761000053957,164812.915830999991158,,,Staten Island,
SI,20,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.645499999899997,-74.103399999399997,955555.731261000037193,174466.369949000014458,,,Staten Island,
SI,21,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.645400000000002,-74.102900000100007,955694.441941999946721,174429.77389400001266,,,Staten Island,
SI,22,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.645299999599999,-74.102299999400003,955860.904207000043243,174393.146013999998104,,,Staten Island,
SI,23,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.645099999800003,-74.101699999499999,956027.324478000053205,174320.086776999989524,,,Staten Island,
SI,24,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.644900000500002,-74.101099999599995,956193.745732999988832,174247.028851999988547,,,Staten Island,
SI,25,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.644699999700002,-74.100299999599997,956415.670157999964431,174173.907936000003247,,,Staten Island,
SI,26,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Greeley Avenue Baseball Diamond,40.568399999999997,-74.0907999999,959023.206938000046648,146372.982565999991493,,,Staten Island,
SI,27,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Midland Beach Veterans Memorial,40.569400000000002,-74.089500000499996,959384.755426999996416,146736.935250999988057,,,Staten Island,
SI,28,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Midland Avenue Baseball Diamond,40.5702,-74.088499999800007,959662.873966000042856,147028.112489999999525,,,Staten Island,
SI,29,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Mapleton Avenue Baseball Diamond,40.571300000199997,-74.087299999600006,959996.658075000043027,147428.534917000011774,,,Staten Island,
SI,30,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near the Hunter Avenue Parking Lot,40.572299999899997,-74.0860000001,960358.176380999968387,147792.502036999998381,,,Staten Island,
SI,31,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Jefferson Avenue,40.573300000300001,-74.084400000399995,960803.026212999946438,148156.394353999989107,,,Staten Island,
